Year,Population,Yearly % Change,Yearly Change,Net Migrants,Median Age,Fertility Rate,Density (P/Km�),Urban Population %,Urban Population,Africa's Share of World Population,World Population,Africa's Rank in World Population
1955,252748903,2.10%,4990953,"-121937",19,6.57,9,16.40%,41419217,10.00%,2773019936,3
1960,283361209,2.31%,6122461,"-147227",18.7,6.62,10,18.70%,53008425,10.20%,3034949748,3
1965,320147257,2.47%,7357210,"-207336",18.2,6.7,11,12.90%,41419217,10.50%,3339583597,3
1970,363447518,2.57%,8660052,"-262524",17.9,6.71,12,22.70%,82637370,10.90%,3700437046,3
1975,414674688,2.67%,10245434,"-384802",17.7,6.7,14,24.90%,103198989,11.20%,4079480606,3
1980,476386273,2.81%,12342317,"-320088",17.6,6.64,16,27.00%,128615954,11.70%,4458003514,3
1985,548626148,2.86%,14447975,"-415790",17.5,6.5,19,29.30%,160721947,12.30%,4870921740,3
1990,630349639,2.82%,16344698,"-356996",17.6,6.19,21,31.70%,200111296,12.90%,5327231061,3
1995,717270078,2.62%,17384088,"-273654",18,5.72,24,33.70%,241824184,13.50%,5744212979,3
2000,810984226,2.49%,18742830,"-492899",18.3,5.35,27,35.30%,285997612,14.10%,6143493823,2
2005,916154288,2.47%,21034012,"-501634",18.7,5.08,31,37.20%,341033592,14.90%,6541907027,2
2010,1039304033,2.55%,24629949,"-737408",19,4.9,35,39.30%,408587045,15.90%,6956823603,2
2015,1182438784,2.61%,28626950,"-852257",19.3,4.73,40,41.60%,491531092,17.00%,7379797139,2
2016,1213040521,2.59%,30601737,"-463024",19.4,4.67,41,42.00%,509683886,16.30%,7464022049,2
2017,1244222267,2.57%,31181746,"-463024",19.4,4.67,42,42.50%,528371323,16.50%,7547858925,2
2018,1275920972,2.55%,31698705,"-463024",19.4,4.67,43,42.90%,547602182,16.70%,7631091040,2
2019,1308064195,2.52%,32143223,"-463024",19.4,4.67,44,43.40%,567387619,17.00%,7713468100,2
2020,1340598147,2.54%,31631873,"-463024",19.7,4.44,45,43.80%,587737793,18.20%,7794798739,2
